ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity
1598886300.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598886360.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598886420.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598886480.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598886540.0,recreation_media,722,,,ALONE,,,home,5,1,4
1598886600.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598886660.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598886720.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598886780.0,recreation_media,722,,,ALONE,,,home,5,1,4
1598886840.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598886900.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598886960.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887020.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887080.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887140.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887200.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887260.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887320.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887380.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887440.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887500.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887560.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887620.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887680.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887740.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887800.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887860.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887920.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598887980.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598888040.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598888100.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598888160.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598888220.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598888280.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598888340.0,recreation_media,722,,,ALONE,,,home,5,1,3
1598888400.0,recreation_media,722,,,ALONE,,,home,5,1,3
