timestamp,hr
00.000,65.4
01.000,65.6
02.000,65.77
03.000,65.95
04.000,66.17
05.000,66.32
06.000,66.43
07.000,66.53
08.000,66.58
09.000,66.68
10.000,66.7
11.000,66.7
12.000,66.73
13.000,66.72
14.000,66.65
15.000,66.55
16.000,66.55
17.000,66.6
18.000,66.65
19.000,66.72
20.000,66.8
21.000,66.93
22.000,67.23
23.000,67.45
24.000,67.65
25.000,67.83
26.000,68.0
27.000,68.17
28.000,68.2
29.000,68.22
30.000,68.23
31.000,68.23
32.000,68.25
33.000,68.25
34.000,68.22
35.000,68.15
36.000,68.08
37.000,68.0
38.000,67.83
39.000,67.68
40.000,67.53
41.000,67.35
42.000,67.2
43.000,67.05
44.000,66.95
45.000,66.97
46.000,67.0
47.000,67.02
48.000,67.02
49.000,67.15
50.000,67.32
51.000,67.5
52.000,67.62
53.000,67.72
54.000,67.78
55.000,67.88
56.000,67.88
57.000,67.9
58.000,67.92
59.000,67.93
