timestamp,hr
00.000,90.85
01.000,91.15
02.000,91.47
03.000,91.78
04.000,92.12
05.000,92.48
06.000,92.87
07.000,93.25
08.000,93.67
09.000,93.92
10.000,94.18
11.000,94.33
12.000,94.45
13.000,94.52
14.000,94.57
15.000,94.63
16.000,94.73
17.000,94.92
18.000,95.07
19.000,95.38
20.000,95.72
21.000,96.15
22.000,96.53
23.000,96.88
24.000,97.17
25.000,97.47
26.000,97.77
27.000,98.1
28.000,98.35
29.000,98.6
30.000,98.85
31.000,99.02
32.000,99.23
33.000,99.38
34.000,99.52
35.000,99.72
36.000,99.88
37.000,100.02
38.000,100.12
39.000,100.27
40.000,100.45
41.000,100.57
42.000,100.67
43.000,100.78
44.000,100.93
45.000,101.07
46.000,101.17
47.000,101.27
48.000,101.32
49.000,101.27
50.000,101.2
51.000,101.12
52.000,100.98
53.000,100.85
54.000,100.7
55.000,100.5
56.000,100.3
57.000,100.12
58.000,99.87
59.000,99.65
