timestamp,lat,lon,accuracy
01,37.4855232,126.9777132,16.153
04,37.4855214,126.9777108,16.177
07,37.4855201,126.977709,16.177
10,37.4855209,126.9777059,16.157
13,37.4855213,126.9777039,16.311
16,37.4855213,126.9777025,16.154
19,37.4855212,126.9777018,16.161
22,37.4855212,126.9777015,16.188
25,37.4855211,126.9777012,16.162
28,37.4855213,126.9777001,16.189
31,37.485519,126.977697,16.189
34,37.4855179,126.9776972,16.164
37,37.485487,126.9776631,16.771
40,37.4854427,126.9776164,14.931
43,37.4854334,126.9776052,13.808
46,37.4854485,126.9776226,15.528
49,37.485478,126.9776643,16.323
52,37.4854698,126.9776562,15.761
55,37.4854371,126.9776237,14.483
58,37.4854291,126.977614,14.574
