timestamp,x,y,z
00.000,-0.78125,-0.65625,-0.203125
00.031,-0.796875,-0.640625,-0.1875
00.062,-0.78125,-0.640625,-0.171875
00.093,-0.75,-0.625,-0.15625
00.125,-0.75,-0.609375,-0.15625
00.156,-0.78125,-0.59375,-0.171875
00.187,-0.765625,-0.625,-0.171875
00.218,-0.75,-0.640625,-0.15625
00.250,-0.765625,-0.640625,-0.171875
00.281,-0.75,-0.625,-0.171875
00.312,-0.734375,-0.625,-0.15625
00.343,-0.734375,-0.640625,-0.171875
00.375,-0.75,-0.640625,-0.203125
00.406,-0.765625,-0.640625,-0.203125
00.437,-0.765625,-0.640625,-0.1875
00.468,-0.75,-0.640625,-0.125
00.500,-0.78125,-0.625,-0.09375
00.531,-0.78125,-0.625,-0.09375
00.562,-0.765625,-0.625,-0.109375
00.593,-0.75,-0.625,-0.109375
00.625,-0.734375,-0.625,-0.078125
00.656,-0.765625,-0.640625,-0.078125
00.687,-0.765625,-0.640625,-0.09375
00.718,-0.765625,-0.65625,-0.140625
00.750,-0.765625,-0.65625,-0.15625
00.781,-0.765625,-0.609375,-0.09375
00.812,-0.671875,-0.609375,-0.046875
00.843,-0.6875,-0.671875,-0.109375
00.875,-0.796875,-0.6875,-0.234375
00.906,-0.796875,-0.71875,-0.25
00.937,-0.8125,-0.671875,-0.15625
00.968,-0.75,-0.640625,-0.046875
01.000,-0.78125,-0.609375,-0.046875
01.031,-0.6875,-0.578125,0.078125
01.062,-0.6875,-0.5625,0.09375
01.093,-0.78125,-0.5625,0.125
01.125,-0.890625,-0.515625,0.1875
01.156,-0.890625,-0.53125,0.21875
01.187,-0.8125,-0.5,0.15625
01.218,-0.796875,-0.640625,-0.09375
01.250,-0.765625,-0.671875,-0.1875
01.281,-0.78125,-0.703125,-0.3125
01.312,-0.765625,-0.6875,-0.296875
01.343,-0.734375,-0.65625,-0.265625
01.375,-0.875,-0.6875,-0.328125
01.406,-0.859375,-0.6875,-0.265625
01.437,-0.65625,-0.6875,-0.03125
01.468,-0.6875,-0.59375,0.078125
01.500,-0.78125,-0.4375,0.3125
01.531,-0.921875,-0.5,0.265625
01.562,-0.796875,-0.515625,0.203125
01.593,-0.703125,-0.578125,0.03125
01.625,-0.71875,-0.671875,-0.125
01.656,-0.84375,-0.75,-0.328125
01.687,-0.84375,-0.671875,-0.234375
01.718,-0.75,-0.640625,-0.15625
01.750,-0.75,-0.609375,-0.0625
01.781,-0.765625,-0.59375,-0.03125
01.812,-0.78125,-0.640625,-0.078125
01.843,-0.734375,-0.609375,-0.0625
01.875,-0.75,-0.578125,-0.046875
01.906,-0.765625,-0.609375,-0.0625
01.937,-0.796875,-0.625,-0.09375
01.968,-0.8125,-0.65625,-0.125
02.000,-0.765625,-0.640625,-0.09375
02.031,-0.75,-0.625,-0.0625
02.062,-0.78125,-0.625,-0.109375
02.093,-0.765625,-0.640625,-0.09375
02.125,-0.8125,-0.640625,-0.0625
02.156,-0.78125,-0.640625,-0.0625
02.187,-0.75,-0.640625,-0.0625
02.218,-0.8125,-0.625,-0.078125
02.250,-0.765625,-0.625,-0.015625
02.281,-0.796875,-0.625,-0.03125
02.312,-0.734375,-0.640625,-0.0625
02.343,-0.765625,-0.625,-0.0625
02.375,-0.734375,-0.625,-0.015625
02.406,-0.78125,-0.625,-0.015625
02.437,-0.78125,-0.640625,-0.03125
02.468,-0.8125,-0.625,0.0
02.500,-0.734375,-0.625,0.078125
02.531,-0.765625,-0.625,0.0625
02.562,-0.734375,-0.640625,0.0
02.593,-0.703125,-0.671875,-0.046875
