timestamp,x,y,z
00.000,40.62,0.9,-16.56
00.020,39.899998,1.26,-16.619999
00.059,41.46,1.14,-17.52
00.100,40.5,1.0799999,-17.88
00.121,40.8,1.3199999,-17.279999
00.160,41.1,1.26,-17.76
00.201,39.84,1.92,-18.359999
00.241,40.2,2.52,-18.6
00.261,40.44,1.8,-18.6
00.302,40.559998,1.56,-18.18
00.340,40.14,1.4399999,-18.359999
00.361,40.8,1.8,-17.58
00.401,41.52,0.06,-16.14
00.441,41.7,-0.12,-16.26
00.460,42.12,-1.14,-15.719999
00.501,41.579998,-2.8799999,-14.34
00.541,42.54,-5.8799996,-12.84
00.560,42.719997,-6.72,-11.88
00.601,42.78,-7.7999997,-10.26
00.640,42.48,-8.76,-9.54
00.663,42.84,-9.36,-9.36
00.703,42.36,-8.5199995,-9.12
00.748,42.96,-7.3799996,-10.92
00.760,42.059998,-6.8999996,-12.179999
00.800,41.219997,-6.48,-12.3
00.840,42.12,-5.46,-14.099999
00.860,42.12,-4.3199997,-14.639999
00.899,41.28,-1.92,-16.08
00.938,41.16,-1.26,-17.279999
00.980,39.239998,0.0,-19.439999
01.000,39.12,0.06,-19.439999
01.040,39.18,-0.24,-19.859999
01.080,39.48,-0.42,-20.64
01.100,38.879997,-0.9,-20.82
01.140,38.879997,-0.06,-21.84
01.181,36.899998,1.0799999,-23.76
01.200,36.48,1.1999999,-24.72
01.241,35.579998,3.1799998,-26.279999
01.281,35.7,4.62,-26.76
01.300,35.76,4.5,-26.64
01.341,35.88,4.2599998,-26.039999
01.383,36.96,5.4,-25.5
01.402,36.239998,5.04,-25.5
01.440,35.64,5.2799997,-25.74
01.480,36.36,7.02,-26.16
01.499,36.239998,6.54,-25.439999
01.540,35.82,6.54,-25.74
01.581,37.559998,4.5,-24.119999
01.600,37.5,4.14,-23.4
01.641,39.3,2.34,-20.4
01.681,41.1,1.3199999,-18.3
01.701,41.34,0.06,-17.64
01.741,41.579998,-1.26,-17.16
01.779,41.399998,-3.36,-16.74
01.800,41.52,-3.12,-16.68
01.838,41.64,-4.8599997,-15.599999
01.880,42.36,-3.9599998,-14.16
01.920,43.079998,-3.84,-12.66
01.939,43.26,-4.38,-12.059999
01.979,43.98,-3.48,-10.559999
02.019,44.16,-3.6599998,-9.0
02.039,44.34,-3.12,-9.12
02.078,45.059998,-2.1,-8.22
02.121,43.92,-1.68,-8.5199995
02.139,44.399998,-0.29999998,-9.719999
02.180,43.86,1.62,-10.92
02.220,44.34,2.76,-12.599999
02.259,44.16,2.58,-13.0199995
02.279,43.739998,3.72,-13.98
02.319,43.739998,4.68,-14.639999
02.339,43.26,5.7,-15.12
02.380,43.559998,6.8999996,-15.839999
