timestamp,value
00.000,-5.84
00.015,-5.52
00.031,-4.61
00.046,-3.33
00.062,-1.88
00.078,-0.47
00.093,0.84
00.109,2.03
00.125,3.08
00.140,3.91
00.156,4.41
00.171,4.49
00.187,4.17
00.203,3.65
00.218,3.13
00.234,2.85
00.250,2.92
00.265,3.31
00.281,3.9
00.296,4.54
00.312,5.11
00.328,5.51
00.343,5.71
00.359,5.69
00.375,5.45
00.390,5.0
00.406,4.32
00.421,3.44
00.437,2.34
00.453,1.03
00.468,-0.49
00.484,-2.17
00.500,-3.92
00.515,-5.57
00.531,-6.93
00.546,-7.8
00.562,-8.03
00.578,-7.59
00.593,-6.54
00.609,-5.09
00.625,-3.5
00.640,-2.07
00.656,-1.02
00.671,-0.46
00.687,-0.42
00.703,-0.75
00.718,-1.23
00.734,-1.62
00.750,-1.72
00.765,-1.45
00.781,-0.85
00.796,-0.07
00.812,0.78
00.828,1.68
00.843,2.65
00.859,3.8
00.875,5.16
00.890,6.72
00.906,8.39
00.921,10.04
00.937,11.54
00.953,12.81
00.968,13.77
00.984,14.4
01.000,14.64
01.015,14.45
01.031,13.74
01.046,12.43
01.062,10.44
01.078,7.71
01.093,4.26
01.109,0.21
01.125,-4.19
01.140,-8.63
01.156,-12.77
01.171,-16.25
01.187,-18.77
01.203,-20.09
01.218,-20.04
01.234,-18.52
01.250,-15.54
01.265,-11.23
01.281,-5.88
01.296,0.15
01.312,6.36
01.328,12.27
01.343,17.42
01.359,21.4
01.375,23.94
01.390,24.86
01.406,24.1
01.421,21.75
01.437,18.03
01.453,13.33
01.468,8.16
01.484,3.06
01.500,-1.44
01.515,-4.91
01.531,-7.05
01.546,-7.71
01.562,-6.89
01.578,-4.74
01.593,-1.58
01.609,2.15
01.625,5.93
01.640,9.28
01.656,11.9
01.671,13.65
01.687,14.65
01.703,15.04
01.718,14.96
01.734,14.36
01.750,13.07
01.765,10.89
01.781,7.76
01.796,3.89
01.812,-0.24
01.828,-3.99
01.843,-6.77
01.859,-8.24
01.875,-8.38
01.890,-7.5
01.906,-6.08
01.921,-4.61
01.937,-3.44
01.953,-2.67
01.968,-2.25
01.984,-2.07
02.000,-2.17
02.015,-2.69
02.031,-3.96
02.046,-6.16
02.062,-9.18
02.078,-12.41
02.093,-14.91
02.109,-15.7
02.125,-14.24
02.140,-10.64
02.156,-5.78
02.171,-0.93
02.187,2.7
02.203,4.46
02.218,4.45
02.234,3.38
02.250,2.14
02.265,1.26
02.281,0.58
02.296,-0.78
02.312,-4.05
02.328,-10.16
02.343,-19.12
02.359,-29.7
02.375,-39.72
02.390,-46.78
