timestamp,x,y,z
00.009,-8.88,-50.94,-38.1
00.048,-8.58,-51.66,-38.879997
00.089,-8.639999,-51.36,-37.32
00.110,-8.46,-51.36,-37.38
00.149,-8.88,-51.3,-38.52
00.189,-8.099999,-51.12,-38.399998
00.208,-8.7,-51.36,-38.52
00.249,-8.58,-51.239998,-38.94
00.289,-8.76,-51.059998,-39.12
00.309,-8.7,-50.7,-39.18
00.347,-7.56,-50.579998,-38.64
00.392,-7.98,-51.3,-38.579998
00.427,-9.059999,-50.34,-39.42
00.447,-9.3,-50.219997,-38.579998
00.491,-8.76,-50.7,-38.52
00.527,-8.28,-50.76,-38.52
00.546,-8.88,-51.0,-37.8
00.587,-8.4,-50.64,-37.86
00.627,-8.16,-51.36,-37.98
00.648,-8.4,-51.12,-38.46
00.689,-9.059999,-50.94,-38.219997
00.728,-8.28,-50.34,-37.44
00.749,-8.28,-49.92,-37.62
00.788,-8.76,-51.36,-38.28
00.829,-7.8599997,-51.42,-37.8
00.848,-8.28,-50.94,-38.16
00.889,-8.82,-50.94,-38.28
00.928,-8.82,-51.0,-38.7
00.949,-8.88,-51.0,-38.46
00.988,-8.94,-50.82,-38.219997
01.029,-8.46,-51.48,-38.04
01.047,-9.0,-51.3,-38.579998
01.088,-7.98,-50.879997,-38.64
01.129,-8.639999,-51.539997,-37.5
01.149,-9.42,-51.18,-37.62
01.189,-9.059999,-50.76,-38.94
01.229,-8.28,-51.12,-38.399998
01.249,-8.4,-51.12,-38.219997
01.288,-9.24,-51.66,-38.7
01.328,-8.4,-51.3,-38.52
01.367,-7.8599997,-51.239998,-38.04
01.387,-8.34,-51.3,-38.16
01.427,-8.04,-50.52,-38.219997
01.467,-8.16,-51.42,-38.34
01.486,-8.639999,-51.78,-38.28
01.527,-7.98,-51.239998,-37.68
01.567,-8.82,-50.579998,-38.1
01.588,-8.4,-50.219997,-38.399998
01.628,-8.46,-51.36,-38.46
01.668,-8.34,-50.399998,-38.34
01.688,-8.4,-50.579998,-38.46
01.728,-8.22,-51.12,-37.92
01.768,-8.4,-50.399998,-37.98
01.787,-7.98,-50.039997,-38.52
01.831,-9.059999,-51.12,-38.94
01.854,-8.82,-51.12,-38.64
01.888,-8.7,-50.34,-38.16
01.927,-8.7,-51.48,-38.52
01.968,-8.16,-51.36,-37.14
01.989,-7.98,-51.36,-37.14
02.028,-9.179999,-51.18,-38.28
02.068,-7.62,-51.239998,-37.739998
02.088,-8.46,-51.36,-38.34
02.128,-8.5199995,-51.0,-38.82
02.168,-8.22,-51.48,-38.34
02.189,-8.4,-51.059998,-38.04
02.228,-8.4,-50.7,-39.0
02.268,-8.639999,-50.7,-38.04
02.308,-8.76,-51.059998,-38.64
02.329,-8.22,-50.879997,-38.399998
02.367,-9.059999,-50.82,-37.86
02.407,-8.94,-51.42,-38.219997
02.429,-8.94,-50.94,-37.98
02.466,-8.099999,-50.879997,-37.44
02.506,-8.76,-50.82,-37.5
02.527,-9.0,-50.879997,-37.68
02.567,-9.36,-51.539997,-38.52
02.608,-8.46,-50.94,-38.76
02.627,-8.04,-51.239998,-38.28
02.668,-8.099999,-51.66,-38.16
02.707,-8.7,-50.879997,-37.62
02.727,-9.24,-50.879997,-37.98
02.768,-9.12,-51.18,-38.16
02.808,-7.74,-50.879997,-37.92
02.828,-8.4,-50.7,-38.16
02.868,-8.4,-50.52,-38.399998
02.908,-8.639999,-50.579998,-38.64
02.928,-8.58,-51.48,-38.46
02.969,-7.2599998,-51.12,-38.7
03.008,-8.28,-50.52,-38.82
03.029,-8.099999,-50.52,-38.28
03.068,-8.4,-51.12,-38.399998
03.108,-8.16,-51.12,-38.399998
03.148,-8.639999,-51.3,-37.86
03.168,-8.34,-51.12,-38.82
03.208,-7.98,-52.079998,-38.94
03.247,-8.4,-50.879997,-38.579998
03.268,-7.74,-50.82,-38.7
03.309,-8.94,-50.46,-37.92
03.348,-7.5,-51.12,-38.64
03.367,-8.82,-51.12,-38.34
03.408,-8.94,-51.3,-37.62
03.447,-9.179999,-51.36,-38.7
03.467,-9.0,-51.3,-37.86
03.509,-9.24,-51.0,-37.62
03.549,-8.58,-51.719997,-37.32
03.586,-8.34,-51.48,-38.219997
03.606,-8.34,-51.059998,-38.28
03.646,-8.46,-50.7,-38.64
03.687,-8.4,-51.12,-37.92
03.706,-8.76,-50.94,-37.98
03.746,-8.099999,-51.18,-38.46
03.788,-8.22,-51.6,-38.399998
03.808,-7.56,-51.539997,-39.12
03.848,-8.5199995,-51.12,-37.8
03.869,-8.82,-50.879997,-38.1
03.909,-8.639999,-50.76,-38.46
03.948,-9.24,-51.3,-38.219997
03.989,-8.4,-51.18,-37.5
04.008,-8.16,-50.7,-38.219997
04.048,-9.0,-51.18,-38.52
04.088,-8.34,-51.18,-38.04
04.109,-9.059999,-51.36,-38.46
04.147,-8.58,-51.12,-37.92
04.187,-8.7,-50.82,-37.86
04.208,-9.24,-50.64,-37.44
04.248,-9.179999,-50.82,-37.739998
04.288,-8.4,-51.66,-38.399998
04.308,-8.58,-51.66,-38.34
04.347,-8.4,-50.579998,-38.28
04.386,-8.04,-50.7,-37.98
04.407,-8.04,-51.0,-38.399998
04.446,-9.0,-50.7,-38.399998
04.486,-8.7,-50.82,-38.399998
04.526,-8.639999,-51.66,-37.98
04.546,-8.82,-51.42,-37.5
04.587,-9.179999,-51.18,-38.7
04.627,-8.46,-49.98,-37.62
04.648,-8.5199995,-51.239998,-38.04
04.687,-8.34,-50.7,-38.1
04.709,-7.74,-50.879997,-38.34
04.747,-8.88,-50.879997,-38.219997
04.788,-7.9199996,-51.6,-37.8
04.829,-8.099999,-51.239998,-37.86
04.847,-7.8599997,-51.12,-38.1
04.888,-8.88,-50.76,-38.16
04.927,-7.9199996,-50.76,-37.5
04.950,-8.76,-50.879997,-37.44
04.989,-8.639999,-50.94,-37.62
05.028,-9.24,-51.0,-38.16
05.048,-9.12,-51.12,-37.98
05.087,-8.5199995,-50.879997,-38.7
05.129,-8.82,-51.12,-38.1
05.148,-8.88,-51.059998,-38.1
05.188,-7.8599997,-51.239998,-38.52
05.227,-8.4,-51.239998,-38.82
05.249,-9.179999,-51.3,-39.12
05.289,-8.4,-51.239998,-38.46
05.328,-7.2,-51.42,-38.16
05.371,-8.7,-51.719997,-38.04
05.387,-8.4,-51.3,-38.1
05.427,-8.5199995,-50.879997,-37.92
05.466,-7.7999997,-50.7,-38.34
05.486,-8.82,-50.879997,-38.399998
05.526,-9.059999,-50.579998,-38.1
05.566,-9.0,-51.6,-38.34
05.588,-8.28,-51.239998,-38.219997
05.628,-9.179999,-50.52,-37.8
05.668,-8.7,-50.879997,-38.579998
05.689,-9.24,-50.579998,-38.219997
05.730,-8.94,-51.239998,-38.399998
05.768,-7.9199996,-51.539997,-37.559998
05.789,-8.58,-51.36,-38.04
05.828,-8.88,-50.82,-38.82
05.868,-8.28,-51.36,-38.34
05.888,-8.58,-51.059998,-38.879997
05.928,-7.68,-51.36,-38.46
05.967,-9.179999,-51.3,-38.219997
05.988,-8.88,-51.059998,-38.879997
06.029,-7.44,-50.7,-37.8
06.068,-8.82,-50.82,-38.34
06.088,-8.4,-50.879997,-37.739998
06.128,-8.099999,-51.3,-38.28
06.167,-8.16,-51.719997,-38.16
06.188,-8.22,-51.6,-37.86
06.228,-7.62,-51.12,-38.579998
06.268,-8.22,-50.94,-37.98
06.289,-8.46,-50.82,-38.34
06.330,-8.34,-50.94,-38.52
06.366,-8.16,-50.94,-38.28
06.405,-8.639999,-51.12,-37.5
06.426,-8.76,-51.059998,-37.5
06.466,-9.12,-50.76,-37.739998
06.506,-8.7,-51.239998,-37.62
06.525,-8.46,-51.6,-37.92
06.566,-8.28,-50.76,-38.34
06.608,-8.7,-51.6,-38.1
06.628,-8.34,-50.7,-38.76
06.666,-9.0,-51.239998,-37.62
06.708,-7.74,-51.239998,-38.219997
06.727,-8.28,-51.48,-38.34
06.768,-7.9199996,-51.18,-38.219997
06.808,-9.12,-50.94,-38.76
06.827,-8.82,-51.36,-38.94
06.866,-8.88,-50.879997,-38.34
06.907,-9.0,-51.3,-37.32
06.929,-8.76,-51.6,-38.16
06.967,-8.46,-51.059998,-37.8
07.008,-8.76,-50.76,-37.68
07.047,-8.46,-50.879997,-37.02
07.068,-9.179999,-50.7,-37.079998
07.107,-8.7,-51.0,-38.879997
07.148,-8.099999,-50.879997,-38.1
07.167,-7.9199996,-50.579998,-37.92
07.207,-9.12,-51.48,-38.52
07.248,-8.76,-50.94,-38.52
07.266,-8.639999,-51.12,-38.64
07.307,-8.88,-50.76,-37.98
07.346,-8.099999,-51.36,-37.739998
07.366,-8.82,-51.0,-37.44
07.410,-8.7,-50.82,-38.1
07.446,-8.22,-51.48,-38.1
07.467,-8.46,-51.6,-38.64
07.507,-7.9199996,-50.94,-38.1
07.547,-8.16,-51.18,-38.16
07.567,-7.98,-51.539997,-38.7
07.608,-8.58,-50.94,-37.32
07.649,-8.88,-51.239998,-38.16
07.666,-8.58,-51.6,-37.68
07.708,-8.7,-50.34,-37.98
07.747,-8.099999,-51.36,-37.98
07.768,-8.099999,-51.3,-37.739998
07.809,-8.28,-50.579998,-37.8
07.849,-8.7,-50.52,-38.579998
07.869,-8.099999,-50.82,-38.16
07.909,-9.0,-50.76,-37.739998
07.948,-8.5199995,-51.6,-37.559998
07.968,-8.76,-50.82,-37.98
08.009,-8.76,-50.34,-37.559998
08.049,-8.5199995,-51.84,-37.92
08.069,-8.7,-51.36,-38.34
08.108,-8.34,-51.239998,-37.98
08.148,-8.16,-50.34,-37.62
08.188,-8.639999,-51.239998,-38.1
08.208,-8.099999,-51.239998,-38.1
08.248,-8.58,-50.579998,-38.1
08.289,-8.22,-50.64,-38.46
08.309,-8.22,-51.18,-38.82
08.350,-8.82,-51.3,-37.8
08.387,-8.7,-51.059998,-38.879997
08.406,-8.58,-51.12,-38.82
08.449,-8.5199995,-51.18,-38.04
08.487,-8.22,-51.48,-38.64
08.510,-8.88,-51.239998,-37.68
08.548,-8.88,-51.48,-37.44
08.588,-8.22,-50.579998,-37.559998
08.608,-8.22,-50.879997,-37.739998
08.648,-8.4,-51.539997,-37.98
08.687,-8.94,-50.879997,-37.2
08.708,-8.58,-50.879997,-37.32
08.749,-9.36,-51.12,-38.28
08.788,-8.5199995,-51.18,-38.16
08.808,-8.58,-51.42,-38.219997
08.848,-8.94,-51.3,-38.28
08.889,-8.28,-51.18,-38.52
08.928,-8.58,-51.18,-37.98
08.949,-8.76,-51.6,-37.5
08.988,-8.34,-51.18,-38.34
09.029,-8.7,-50.399998,-38.28
09.048,-8.28,-50.94,-38.579998
09.089,-8.58,-50.7,-37.739998
09.127,-8.7,-51.059998,-37.5
09.147,-8.4,-51.059998,-37.02
09.187,-8.82,-50.94,-37.98
09.228,-8.76,-50.94,-37.98
09.248,-8.7,-51.6,-37.5
09.289,-8.5199995,-50.879997,-38.16
09.337,-7.68,-50.52,-38.76
09.348,-8.22,-50.879997,-37.98
09.387,-8.88,-50.399998,-38.16
09.430,-8.76,-51.239998,-38.34
09.447,-8.82,-51.0,-38.579998
09.486,-8.22,-51.18,-38.04
09.526,-8.76,-50.94,-38.16
09.567,-7.7999997,-50.94,-38.52
09.586,-7.9199996,-51.42,-38.1
09.628,-8.94,-51.36,-38.1
09.670,-8.46,-50.82,-37.86
09.688,-7.98,-51.36,-37.8
09.727,-8.5199995,-51.84,-38.28
09.769,-8.94,-51.239998,-37.739998
09.788,-8.82,-51.0,-37.62
09.828,-8.88,-50.219997,-38.94
09.869,-8.76,-50.879997,-38.82
09.889,-8.7,-51.0,-38.52
09.930,-8.94,-50.64,-37.98
09.968,-8.16,-51.239998,-37.739998
09.989,-7.56,-51.12,-38.04
10.028,-8.639999,-50.82,-37.8
10.069,-8.34,-51.719997,-38.7
10.089,-8.639999,-51.539997,-38.64
10.129,-8.639999,-50.94,-38.1
10.168,-8.46,-51.12,-38.7
10.189,-9.599999,-51.18,-37.86
10.229,-8.639999,-50.94,-38.7
10.269,-7.9199996,-51.3,-38.28
10.289,-7.68,-51.36,-38.7
10.328,-8.639999,-51.18,-38.1
10.366,-7.8599997,-50.879997,-37.98
10.389,-7.8599997,-50.76,-38.64
10.427,-8.22,-51.66,-38.94
10.466,-8.5199995,-51.239998,-38.399998
10.505,-7.8599997,-51.84,-37.98
10.526,-8.22,-51.42,-38.399998
10.567,-9.3,-51.899998,-38.52
10.608,-7.7999997,-52.5,-38.46
10.628,-8.16,-51.719997,-38.16
10.668,-8.4,-51.96,-39.059998
10.708,-8.16,-50.82,-37.26
10.729,-7.9199996,-50.399998,-37.14
10.768,-8.58,-50.34,-38.16
10.808,-8.46,-51.48,-38.04
10.829,-8.82,-51.059998,-38.16
10.868,-8.5199995,-51.18,-37.92
10.909,-8.28,-51.48,-38.579998
10.929,-8.34,-51.059998,-38.52
10.969,-7.2,-50.94,-38.579998
11.008,-8.04,-51.3,-37.68
11.029,-8.5199995,-51.059998,-37.739998
11.068,-8.5199995,-50.76,-38.94
11.108,-8.94,-51.18,-37.86
11.131,-9.3,-51.059998,-38.46
11.167,-8.4,-52.14,-38.34
11.208,-8.94,-51.36,-38.579998
11.228,-8.639999,-51.719997,-37.98
11.268,-8.82,-51.539997,-38.52
11.308,-8.28,-50.94,-38.34
11.329,-8.82,-51.0,-38.34
11.367,-8.04,-51.3,-37.68
11.407,-8.4,-51.059998,-37.68
11.446,-9.36,-50.219997,-37.079998
11.467,-9.0,-49.86,-37.739998
11.506,-8.58,-51.719997,-38.7
11.547,-8.5199995,-51.059998,-38.7
11.566,-8.16,-50.34,-38.579998
11.608,-8.46,-50.7,-38.219997
11.648,-8.46,-51.239998,-38.16
11.668,-8.7,-50.46,-38.28
11.707,-8.16,-50.94,-38.16
11.747,-8.04,-50.219997,-38.28
11.769,-7.9199996,-50.64,-38.219997
11.808,-8.22,-50.579998,-38.219997
11.850,-8.94,-50.76,-38.16
11.869,-8.94,-50.399998,-38.16
11.908,-8.4,-51.18,-38.1
11.947,-8.46,-51.12,-37.8
11.967,-8.04,-50.879997,-37.98
12.008,-8.82,-51.059998,-38.28
12.048,-8.94,-51.12,-37.62
12.068,-8.58,-51.6,-38.52
12.108,-8.58,-51.36,-38.64
12.148,-8.46,-51.42,-37.86
12.168,-7.8599997,-51.539997,-37.98
12.207,-8.46,-50.34,-37.92
12.248,-7.9199996,-50.7,-39.0
12.288,-8.639999,-51.3,-38.04
12.307,-8.88,-51.539997,-37.5
12.347,-9.179999,-50.94,-37.739998
12.391,-8.88,-51.6,-38.28
12.407,-8.28,-51.3,-38.579998
12.447,-8.639999,-50.52,-37.86
12.487,-8.16,-51.18,-38.52
12.506,-8.04,-51.48,-38.219997
