timestamp,x,y,z
00.000,-0.53125,-0.1875,0.78125
00.031,-0.359375,-0.15625,0.765625
00.062,-0.28125,-0.140625,0.84375
00.093,-0.25,-0.21875,0.75
00.125,-0.21875,-0.171875,1.078125
00.156,-0.234375,-0.234375,1.078125
00.187,-0.046875,-0.25,0.90625
00.218,-0.03125,-0.25,0.875
00.250,-0.21875,-0.328125,0.921875
00.281,-0.75,-0.375,0.734375
00.312,-0.484375,-0.59375,0.8125
00.343,-0.515625,-0.109375,0.5625
00.375,0.3125,0.0625,0.359375
00.406,0.4375,0.125,0.4375
00.437,-0.25,0.671875,0.359375
00.468,-0.03125,1.015625,0.171875
00.500,0.09375,1.984375,1.484375
00.531,-0.515625,-0.390625,0.375
00.562,-0.328125,1.984375,0.609375
00.593,-0.984375,0.5625,0.890625
00.625,-0.78125,1.3125,1.1875
00.656,-0.65625,0.640625,0.6875
00.687,-0.8125,1.09375,0.515625
00.718,-0.671875,0.953125,0.40625
00.750,-0.53125,0.796875,0.203125
00.781,-0.546875,0.953125,0.625
00.812,-0.21875,0.84375,0.734375
00.843,-0.203125,0.9375,0.546875
00.875,0.0625,1.125,0.453125
00.906,0.546875,0.9375,0.703125
00.937,-0.421875,1.015625,0.421875
00.968,-0.40625,0.875,0.4375
01.000,-0.65625,0.703125,0.109375
01.031,-0.15625,0.703125,0.390625
01.062,-0.078125,0.703125,0.53125
01.093,-0.109375,0.828125,0.578125
01.125,-0.171875,0.734375,0.40625
01.156,-0.578125,0.953125,0.15625
01.187,-0.796875,0.9375,0.15625
01.218,-0.453125,1.03125,0.4375
01.250,-0.1875,0.828125,0.453125
01.281,0.296875,0.828125,0.8125
01.312,-0.234375,1.25,0.453125
01.343,-0.140625,1.140625,0.5625
01.375,-0.21875,0.90625,0.453125
01.406,-0.53125,0.859375,0.40625
01.437,-0.71875,0.734375,0.21875
01.468,-0.578125,0.671875,0.15625
01.500,-0.34375,0.796875,0.34375
01.531,0.1875,0.8125,0.703125
01.562,-0.25,0.703125,0.515625
01.593,-0.46875,0.609375,0.515625
01.625,-0.703125,0.75,0.328125
01.656,-0.390625,0.921875,0.515625
01.687,-0.59375,0.96875,0.484375
01.718,-0.546875,0.5,0.375
01.750,-0.40625,1.0,0.515625
01.781,-0.265625,1.171875,0.453125
01.812,-0.265625,1.390625,0.5
01.843,-0.15625,1.265625,0.546875
01.875,-0.296875,1.015625,0.375
01.906,-0.40625,0.953125,0.53125
01.937,-0.09375,0.859375,0.8125
01.968,-0.484375,0.765625,0.484375
02.000,-0.515625,0.65625,0.53125
02.031,-0.59375,0.890625,0.578125
02.062,-0.375,1.03125,0.453125
02.093,-0.515625,1.125,0.40625
02.125,-0.421875,0.859375,0.5
02.156,-0.296875,0.78125,0.703125
02.187,-0.421875,0.9375,0.59375
02.218,-0.640625,0.609375,0.53125
02.250,-0.46875,0.65625,0.671875
02.281,-0.515625,0.390625,0.65625
02.312,-0.40625,0.296875,0.625
02.343,-0.234375,0.25,0.546875
