timestamp,lat,lon,accuracy
02,37.4853711,126.977477,12.0
05,37.485369,126.9774794,12.0
08,37.4853659,126.977483,12.0
11,37.4853632,126.9774859,12.0
14,37.4853601,126.9774884,12.0
17,37.4853575,126.9774904,12.0
20,37.4853551,126.9774927,12.009
23,37.485353,126.9774955,12.0
26,37.4853501,126.9774997,12.021
29,37.485349,126.9774977,12.06
32,37.48535,126.9774969,12.07
35,37.4853533,126.9774939,12.115
38,37.4853499,126.9774944,12.099
41,37.4853459,126.9774936,12.15
44,37.4853445,126.9774876,12.159
47,37.4853436,126.977482,12.136
50,37.4853364,126.9774804,12.202
53,37.4853336,126.9774803,12.173
56,37.4853319,126.9774806,12.236
59,37.4853309,126.9774808,12.259
