timestamp,value
00.000,-10.73
00.015,-11.26
00.031,-11.4
00.046,-11.26
00.062,-10.85
00.078,-10.15
00.093,-9.14
00.109,-7.81
00.125,-6.32
00.140,-4.91
00.156,-3.79
00.171,-3.18
00.187,-3.11
00.203,-3.47
00.218,-3.96
00.234,-4.23
00.250,-4.04
00.265,-3.34
00.281,-2.29
00.296,-1.18
00.312,-0.2
00.328,0.62
00.343,1.45
00.359,2.44
00.375,3.73
00.390,5.26
00.406,6.91
00.421,8.49
00.437,9.81
00.453,10.84
00.468,11.68
00.484,12.46
00.500,13.25
00.515,14.06
00.531,14.81
00.546,15.41
00.562,15.76
00.578,15.79
00.593,15.52
00.609,15.0
00.625,14.31
00.640,13.47
00.656,12.42
00.671,11.06
00.687,9.3
00.703,7.11
00.718,4.53
00.734,1.77
00.750,-1.0
00.765,-3.52
00.781,-5.67
00.796,-7.49
00.812,-9.04
00.828,-10.46
00.843,-11.69
00.859,-12.7
00.875,-13.37
00.890,-13.66
00.906,-13.59
00.921,-13.22
00.937,-12.59
00.953,-11.78
00.968,-10.84
00.984,-9.78
01.000,-8.63
01.015,-7.45
01.031,-6.35
01.046,-5.33
01.062,-4.4
01.078,-3.48
01.093,-2.55
01.109,-1.63
01.125,-0.84
01.140,-0.23
01.156,0.17
01.171,0.39
01.187,0.5
01.203,0.65
01.218,0.91
01.234,1.36
01.250,2.0
01.265,2.74
01.281,3.45
01.296,3.98
01.312,4.22
01.328,4.2
01.343,3.99
01.359,3.7
01.375,3.38
01.390,3.02
01.406,2.5
01.421,1.68
01.437,0.51
01.453,-0.9
01.468,-2.33
01.484,-3.62
01.500,-4.7
01.515,-5.58
01.531,-6.32
01.546,-7.04
01.562,-7.8
01.578,-8.6
01.593,-9.46
01.609,-10.29
01.625,-11.04
01.640,-11.72
01.656,-12.31
01.671,-12.85
01.687,-13.43
01.703,-13.96
01.718,-14.38
01.734,-14.55
01.750,-14.33
01.765,-13.68
01.781,-12.65
01.796,-11.43
01.812,-10.2
01.828,-9.14
01.843,-8.29
01.859,-7.57
01.875,-6.92
01.890,-6.25
01.906,-5.55
01.921,-4.86
01.937,-4.33
01.953,-3.98
01.968,-3.85
01.984,-3.81
02.000,-3.81
02.015,-3.82
02.031,-3.92
02.046,-4.21
02.062,-4.6
02.078,-4.87
02.093,-4.68
02.109,-3.83
02.125,-2.32
02.140,-0.44
02.156,1.39
02.171,2.88
02.187,3.86
02.203,4.39
02.218,4.66
02.234,4.78
02.250,4.75
02.265,4.52
02.281,4.09
02.296,3.54
02.312,3.13
02.328,3.06
02.343,3.41
02.359,4.08
02.375,4.8
02.390,5.35
02.406,5.61
02.421,5.58
02.437,5.31
02.453,4.93
02.468,4.41
02.484,3.7
02.500,2.74
02.515,1.47
02.531,-0.06
02.546,-1.68
02.562,-3.15
02.578,-4.2
02.593,-4.58
02.609,-4.19
02.625,-2.99
02.640,-1.12
02.656,1.14
02.671,3.47
02.687,5.52
02.703,7.01
02.718,7.75
02.734,7.73
02.750,7.03
02.765,5.89
02.781,4.61
02.796,3.42
02.812,2.53
02.828,2.0
02.843,1.73
02.859,1.66
02.875,1.76
02.890,2.04
02.906,2.62
02.921,3.6
02.937,4.89
02.953,6.37
02.968,7.75
02.984,8.74
03.000,9.15
03.015,8.95
03.031,8.16
03.046,6.94
03.062,5.4
03.078,3.72
03.093,2.07
03.109,0.67
03.125,-0.3
03.140,-0.77
03.156,-0.75
03.171,-0.4
03.187,0.12
03.203,0.61
03.218,0.94
03.234,1.07
03.250,0.96
03.265,0.71
03.281,0.32
03.296,-0.2
03.312,-0.95
03.328,-1.95
03.343,-3.22
03.359,-4.72
03.375,-6.28
03.390,-7.72
03.406,-8.77
03.421,-9.25
03.437,-9.01
03.453,-8.11
03.468,-6.71
03.484,-5.08
03.500,-3.61
03.515,-2.57
03.531,-2.19
03.546,-2.41
03.562,-3.05
03.578,-3.73
03.593,-4.13
03.609,-4.03
03.625,-3.37
03.640,-2.3
03.656,-1.01
03.671,0.23
03.687,1.28
03.703,2.17
03.718,3.07
03.734,4.18
03.750,5.66
03.765,7.5
03.781,9.58
03.796,11.65
03.812,13.44
03.828,14.88
03.843,16.07
03.859,17.24
03.875,18.64
03.890,20.32
03.906,22.01
03.921,23.18
03.937,23.28
03.953,21.89
03.968,18.92
03.984,14.59
04.000,9.52
04.015,4.35
04.031,-0.27
04.046,-3.92
04.062,-6.39
04.078,-7.65
04.093,-7.8
04.109,-7.08
04.125,-5.86
04.140,-4.35
04.156,-2.79
04.171,-1.27
04.187,0.26
04.203,1.96
04.218,4.08
04.234,6.82
04.250,10.34
04.265,14.59
04.281,19.49
04.296,24.84
04.312,30.33
04.328,35.68
04.343,40.56
04.359,44.69
04.375,47.82
04.390,49.99
04.406,51.25
04.421,51.94
04.437,52.46
04.453,53.18
04.468,54.29
04.484,55.59
04.500,56.59
04.515,56.73
04.531,55.8
04.546,54.05
04.562,52.44
04.578,52.21
04.593,54.48
04.609,59.72
04.625,67.28
04.640,75.72
04.656,83.26
04.671,88.49
04.687,90.83
04.703,90.86
04.718,89.91
04.734,89.56
04.750,91.13
04.765,95.1
04.781,101.0
04.796,107.59
04.812,113.09
04.828,115.63
04.843,113.91
04.859,107.65
04.875,97.8
04.890,86.52
04.906,76.39
04.921,69.65
